authors,title,abstract,cited,year,doi,chazal
"Hannun, AY; Rajpurkar, P; Haghpanahi, M; Tison, GH; Bourn, C; Turakhia, MP; Ng, AY",Cardiologist-level arrhythmia detection and classification in ambulatory electrocardiograms using a deep neural network,"Computerized electrocardiogram (ECG) interpretation plays a critical role in the clinical ECG workflow(1). Widely available digital ECG data and the algorithmic paradigm of deep learning(2) present an opportunity to substantially improve the accuracy and scalability of automated ECG analysis. However, a comprehensive evaluation of an end-to-end deep learning approach for ECG analysis across a wide variety of diagnostic classes has not been previously reported. Here, we develop a deep neural network (DNN) to classify 12 rhythm classes using 91,232 single-lead ECGs from 53,549 patients who used a single-lead ambulatory ECG monitoring device. When validated against an independent test dataset annotated by a consensus committee of board-certified practicing cardiologists, the DNN achieved an average area under the receiver operating characteristic curve (ROC) of 0.97. The average F-1 score, which is the harmonic mean of the positive predictive value and sensitivity, for the DNN (0.837) exceeded that of average cardiologists (0.780). With specificity fixed at the average specificity achieved by cardiologists, the sensitivity of the DNN exceeded the average cardiologist sensitivity for all rhythm classes. These findings demonstrate that an end-to-end deep learning approach can classify a broad range of distinct arrhythmias from single-lead ECGs with high diagnostic performance similar to that of cardiologists. If confirmed in clinical settings, this approach could reduce the rate of misdiagnosed computerized ECG interpretations and improve the efficiency of expert human ECG interpretation by accurately triaging or prioritizing the most urgent conditions.",1553,2019,http://dx.doi.org/10.1038/s41591-018-0268-3,No
"Yildirim, Ö; Plawiak, P; Tan, RS; Acharya, UR",Arrhythmia detection using deep convolutional neural network with long duration ECG signals,"This article presents a new deep learning approach for cardiac arrhythmia (17 classes) detection based on long duration electrocardiography (ECG) signal analysis. Cardiovascular disease prevention is one of the most important tasks of any health care system as about 50 million people are at risk of heart disease in the world. Although automatic analysis of ECG signal is very popular, current methods are not satisfactory. The goal of our research was to design a new method based on deep learning to efficiently and quickly classify cardiac arrhythmias. Described research are based on 1000 ECG signal fragments from the MIT - BIH Arrhythmia database for one lead (MLII) from 45 persons. Approach based on the analysis of 10-s ECG signal fragments (not a single QRS complex) is applied (on average, 13 times less classifications/analysis). A complete end-to-end structure was designed instead of the hand-crafted feature extraction and selection used in traditional methods. Our main contribution is to design a new 1D-Convolutional Neural Network model (1D-CNN). The proposed method is 1) efficient, 2) fast (real-time classification) 3) non-complex and 4) simple to use (combined feature extraction and selection, and classification in one stage). Deep 1D-CNN achieved a recognition overall accuracy of 17 cardiac arrhythmia disorders (classes) at a level of 91.33% and classification time per single sample of 0.015 s. Compared to the current research, our results are one of the best results to date, and our solution can be implemented in mobile devices and cloud computing.",472,2018,http://dx.doi.org/10.1016/j.compbiomed.2018.09.009,No
"Oh, SL; Ng, EYK; Tan, RS; Acharya, UR",Automated diagnosis of arrhythmia using combination of CNN and LSTM techniques with variable length heart beats,"Arrhythmia is a cardiac conduction disorder characterized by irregular heartbeats. Abnormalities in the conduction system can manifest in the electrocardiographic (ECG) signal. However, it can be challenging and time-consuming to visually assess the ECG signals due to the very low amplitudes. Implementing an automated system in the clinical setting can potentially help expedite diagnosis of arrhythmia, and improve the accuracies. In this paper, we propose an automated system using a combination of convolutional neural network (CNN) and long short-term memory (LSTM) for diagnosis of normal sinus rhythm, left bundle branch block (LBBB), right bundle branch block (RBBB), atrial premature beats (APB) and premature ventricular contraction (PVC) on ECG signals. The novelty of this work is that we used ECG segments of variable length from the MIT-BIT arrhythmia physio bank database. The proposed system demonstrated high classification performance in the handling of variable-length data, achieving an accuracy of 98.10%, sensitivity of 97.50% and specificity of 98.70% using ten-fold cross validation strategy. Our proposed model can aid clinicians to detect common arrhythmias accurately on routine screening ECG.",451,2018,http://dx.doi.org/10.1016/j.compbiomed.2018.06.002,No
"Yao, QH; Wang, RX; Fan, XM; Liu, JK; Li, Y",Multi-class Arrhythmia detection from 12-lead varied-length ECG using Attention-based Time-Incremental Convolutional Neural Network,"Automatic arrhythmia detection from Electrocardiogram (ECG) plays an important role in early prevention and diagnosis of cardiovascular diseases. Convolutional neural network (CNN) is a simpler, more noise-immune solution than traditional methods in multi-class arrhythmia classification. However, suffering from lack of consideration for temporal feature of ECG signal, CNN couldn't accept varied-length ECG signal and had limited performance in detecting paroxysmal arrhythmias. To address these issues, we proposed attention-based time-incremental convolutional neural network (ATI-CNN), a deep neural network model achieving both spatial and temporal fusion of information from ECG signals by integrating CNN, recurrent cells and attention module. Comparing to CNN model, this model features flexible input length, halved parameter amount as well as more than 90% computation reduction in real-time processing. The experiment result shows that, ATI-CNN reached an overall classification accuracy of 81.2%. In comparison with a classical 16-layer CNN named VGGNet, ATI-CNN achieved accuracy increases of 7.7% in average and up to 26.8% in detecting paroxysmal arrhythmias. Combining all these excellent features, ATI-CNN offered an exemplification for all kinds of varied-length signal processing problems.",263,2020,http://dx.doi.org/10.1016/j.inffus.2019.06.024,No
"Sannino, G; De Pietro, G",A deep learning approach for ECG-based heartbeat classification for arrhythmia detection,"Classification is one of the most popular topics in healthcare and bioinformatics, especially in relation to arrhythmia detection. Arrhythmias are irregularities in the rate or rhythm of the heartbeat which, in some cases, may occur sporadically in a subject's daily life. To capture these infrequent events, a Holter device is usually employed to record long-term ECG data. Therefore, the automatic recognition of abnormal heartbeats from a large amount of ECG data is an important and essential task. In the last two decades, a huge number of methods have been proposed to address the problem of ECG beat classification. At the same time, deep learning has advanced rapidly since the early 2000s and now demonstrates a state-of-the-art performance in various fields. In this paper, we propose a novel deep learning approach for ECG beat classification. We have conducted the experiments on the well-known MIT-BIH Arrhythmia Database, and compared our results with the scientific literature. The final results show that our model is not only more efficient than the state of the art in terms of accuracy, but also competitive in terms of sensitivity and specificity. (C) 2018 Elsevier B.V. All rights reserved.",252,2018,http://dx.doi.org/10.1016/j.future.2018.03.057,Yes
"Saadatnejad, S; Oveisi, M; Hashemi, M",LSTM-Based ECG Classification for Continuous Monitoring on Personal Wearable Devices,"A novel electrocardiogram (ECG) classification algorithm is proposed for continuous cardiac monitoring on wearable devices with limited processing capacity. The proposed solution employs a novel architecture consisting of wavelet transform and multiple long short-term memory (LSTM) recurrent neural networks. Experimental evaluations show superior ECG classification performance compared to previous works. Measurements on different hardware platforms show the proposed algorithm meets timing requirements for continuous and real-time execution on wearable devices. In contrast to many compute-intensive deep-learning based approaches, the proposed algorithm is lightweight, and therefore, brings continuous monitoring with accurate LSTM-based ECG classification to wearable devices. The proposed algorithm is both accurate and lightweight. The source code is available online at http://lis.ee.sharif.edu.",237,2020,http://dx.doi.org/10.1109/JBHI.2019.2911367,No
"Yildirim, O; Baloglu, UB; Tan, RS; Ciaccio, EJ; Acharya, UR",A new approach for arrhythmia classification using deep coded features and LSTM networks,"Background and objective: For diagnosis of arrhythmic heart problems, electrocardiogram (ECG) signals should be recorded and monitored. The long-term signal records obtained are analyzed by expert cardiologists. Devices such as the Holter monitor have limited hardware capabilities. For improved diagnostic capacity, it would be helpful to detect arrhythmic signals automatically. In this study, a novel approach is presented as a candidate solution for these issues. Methods: A convolutional auto-encoder (CAE) based nonlinear compression structure is implemented to reduce the signal size of arrhythmic beats. Long-short term memory (LSTM) classifiers are employed to automatically recognize arrhythmias using ECG features, which are deeply coded with the CAE network. Results: Based upon the coded ECG signals, both storage requirement and classification time were considerably reduced. In experimental studies conducted with the MIT-BIH arrhythmia database, ECG signals were compressed by an average 0.70% percentage root mean square difference (PRD) rate, and an accuracy of over 99.0% was observed. Conclusions: One of the significant contributions of this study is that the proposed approach can significantly reduce time duration when using LSTM networks for data analysis. Thus, a novel and effective approach was proposed for both ECG signal compression, and their high-performance automatic recognition, with very low computational cost. (C) 2019 Elsevier B.V. All rights reserved.",223,2019,http://dx.doi.org/10.1016/j.cmpb.2019.05.004,No
"Mathews, SM; Kambhamettu, C; Barner, KE",A novel application of deep learning for single-lead ECG classification,"Detecting and classifying cardiac arrhythmias is critical to the diagnosis of patients with cardiac abnormalities. In this paper, a novel approach based on deep learning methodology is proposed for the classification of single-lead electrocardiogram (ECG) signals. We demonstrate the application of the Restricted Boltzmann Machine (RBM) and deep belief networks (DBN) for ECG classification following detection of ventricular and supraventricular heartbeats using single-lead ECG. The effectiveness of this proposed algorithm is illustrated using real ECG signals from the widely-used MIT-BIH database. Simulation results demonstrate that with a suitable choice of parameters, RBM and DBN can achieve high average recognition accuracies of ventricular ectopic beats (93.63%) and of supraventricular ectopic beats (95.57%) at a low sampling rate of 114 Hz. Experimental results indicate that classifiers built into this deep learning -based framework achieved state-of-the art performance models at lower sampling rates and simple features when compared to traditional methods. Further, employing features extracted at a sampling rate of 114 Hz when combined with deep learning provided enough discriminatory power for the classification task. This performance is comparable to that of traditional methods and uses a much lower sampling rate and simpler features. Thus, our proposed deep neural network algorithm demonstrates that deep learning-based methods offer accurate ECG classification and could potentially be extended to other physiological signal classifications, such as those in arterial blood pressure (ABP), nerve conduction (EMG), and heart rate variability (HRV) studies.",200,2018,http://dx.doi.org/10.1016/j.compbiomed.2018.05.013,Yes
"Sahoo, S; Kanungo, B; Behera, S; Sabut, S",Multiresolution wavelet transform based feature extraction and ECG classification to detect cardiac abnormalities,"Analysis of electrocardiogram (ECG) signal provides valuable information about the heart conditions of the patient to the clinicians. The wavelet transform is an effective tool for extracting discriminative features in ECG signal classification for automatic diagnosis of cardiac arrhythmia. In this paper we proposed an improved algorithm to detect QRS complex features based on the multiresolution wavelet transform to classify four types of ECG beats. Extracted features are used for classifying cardiac abnormalities: normal (N), left bundle branch block (LBBB), right bundle branch block (RBBB), Paced beats (P) using neural network (NN) and support vector machines (SVM) classifier. The performance of the method is evaluated in terms of sensitivity, specificity, accuracy for 48 recorded ECG signals obtained from the MIT-BIH arrhythmia database. The proposed process achieved high detection performance with less error rate of 0.42% in detecting QRS complex. The classifier confirmed its superiority with an average accuracy of 96.67% and 98.39% in NN and SVM respectively. The classification accuracy of SVM approach proves superior for the proposed method to that of the NN classifier with extracted parameter in detecting ECG arrhythmia beats. (C) 2017 Elsevier Ltd. All rights reserved.",168,2017,http://dx.doi.org/10.1016/j.measurement.2017.05.022,No
"Tuncer, T; Dogan, S; Plawiak, P; Acharya, UR",Automated arrhythmia detection using novel hexadecimal local pattern and multilevel wavelet transform with ECG signals,"Electrocardiography (ECG) is widely used for arrhythmia detection nowadays. The machine learning methods with signal processing algorithms have been used for automated diagnosis of cardiac health using ECG signals. In this article, discrete wavelet transform (DWT) coupled with novel 1-dimensional hexadecimal local pattern (1D-HLP) technique are employed for automated detection of arrhythmia detection. The ECG signals of 10 s duration are subjected to DWT to decompose up to five levels. The 1D-HLP extracts 512 dimensional features from each level of the five levels of low pass filter. Then, these extracted features are concatenated to obtain 512 x 6 = 3072 dimensional feature set. These fused features are subjected to neighborhood component analysis (NCA) feature reduction technique to obtain 64, 128 and 256 features. Finally, these features are subjected to 1 nearest neighborhood (1NN) classifier for classification with 4 distance metrics namely city block, Euclidean, spearman and cosine. We have obtained a classification accuracy of 95.0% in classifying 17 arrhythmia classes using MIT-BIH Arrhythmia ECG dataset. Our results show that the proposed method is more superior than other already reported classical ensemble learning and deep learning methods for arrhythmia detection using ECG signals. (C) 2019 Elsevier B.V. All rights reserved.",167,2019,http://dx.doi.org/10.1016/j.knosys.2019.104923,Yes
